Play,Type,Bnt,Fl,Loc,B,Count,Probability,New Outs,Runs
Single,Grounder,Y,-,25,2nd,1,  0.00%,1,0
Error,Grounder,-,-,9LS,2nd,1,  0.00%,1,0
Error,Liner,-,-,3,1st,1,  0.00%,1,0
Single,Liner,-,-,7L,Out,1,  0.00%,2,0
Error,Grounder,-,-,5D,2nd,1,  0.00%,1,0
Double,Liner,-,-,2,2nd,1,  0.00%,1,0
Generic out,Fly,-,Y,3F,Out,1,  0.00%,2,0
Single,Liner,-,-,6S,1st,1,  0.00%,1,0
Single,Liner,-,-,78,2nd,1,  0.00%,1,0
Double,Grounder,-,-,3,Out,1,  0.00%,2,0
Single,Liner,-,-,78S,2nd,1,  0.00%,1,0
Single,Grounder,Y,-,6S,1st,1,  0.00%,1,0
Double,Liner,-,-,9S,2nd,1,  0.00%,1,0
Single,Fly,-,-,89S,Out,1,  0.00%,2,0
Single,Pop-up,-,-,3D,1st,1,  0.00%,1,0
Error,Grounder,-,-,6S,1st,1,  0.00%,1,0
Single,Fly,-,-,7LD,Out,1,  0.00%,2,0
Double,Liner,-,-,4MD,2nd,1,  0.00%,1,0
Single,Pop-up,-,-,56D,1st,1,  0.00%,1,0
Error,Liner,-,-,89XD,3rd,1,  0.00%,1,0
Error,Grounder,-,-,1S,3rd,1,  0.00%,1,0
Double,Fly,-,-,8XD,3rd,1,  0.00%,1,0
Single,Liner,-,-,78D,2nd,1,  0.00%,1,0
Triple,Grounder,-,-,5,3rd,1,  0.00%,1,0
Single,Grounder,-,-,34,Out,1,  0.00%,2,0
Single,Grounder,Y,-,13,1st,1,  0.00%,1,0
Interference,Grounder,-,-,34,1st,1,  0.00%,1,0
Double,Grounder,-,-,6,2nd,1,  0.00%,1,0
Single,Fly,-,-,9LS,2nd,1,  0.00%,1,0
Single,Liner,-,-,8XD,Out,1,  0.00%,2,0
Error,Pop-up,-,-,4MS,1st,1,  0.00%,1,0
Error,Grounder,-,-,6MS,1st,1,  0.00%,1,0
Single,Pop-up,-,-,34,1st,1,  0.00%,1,0
Triple,Fly,-,-,7L,3rd,1,  0.00%,1,0
Error,Grounder,-,-,5S,1st,1,  0.00%,1,0
Generic out,Liner,-,-,34S,Out,1,  0.00%,2,0
Single,Liner,-,-,7L,2nd,1,  0.00%,1,0
Single,Liner,-,-,89,2nd,1,  0.00%,1,0
Error,Grounder,-,-,4MD,2nd,1,  0.00%,1,0
Error,Fly,-,-,7D,2nd,1,  0.00%,1,0
Single,Pop-up,-,-,6S,1st,1,  0.00%,1,0
Generic out,Pop-up,Y,Y,2F,Out,1,  0.00%,2,0
Single,Liner,-,-,4S,1st,1,  0.00%,1,0
Single,Liner,-,-,78D,Out,1,  0.00%,2,0
Single,Fly,-,-,9LD,2nd,1,  0.00%,1,0
Generic out,Fly,-,-,6,Out,1,  0.00%,2,0
Generic out,Grounder,-,-,23,1st,1,  0.00%,1,0
Single,Grounder,-,-,56S,2nd,1,  0.00%,1,0
Generic out,Fly,-,-,3,Out,1,  0.00%,2,0
Double,Liner,-,-,7LS,3rd,1,  0.00%,1,0
Single,Fly,-,-,8D,1st,1,  0.00%,1,0
Error,Grounder,-,-,13,1st,1,  0.00%,1,0
Triple,Liner,-,-,6MD,3rd,1,  0.00%,1,0
Double,Liner,-,-,3D,2nd,1,  0.00%,1,0
Error,Grounder,-,-,3S,1st,1,  0.00%,1,0
Single,Pop-up,-,-,5D,1st,1,  0.00%,1,0
Error,Grounder,-,-,6S,2nd,1,  0.00%,1,0
Single,Liner,-,-,6MD,1st,1,  0.00%,1,0
Double,Fly,-,-,3D,2nd,1,  0.00%,1,0
Generic out,Liner,-,Y,5F,Out,1,  0.00%,2,0
Single,Fly,-,-,9LS,Out,1,  0.00%,2,0
Triple,Fly,-,-,7D,3rd,1,  0.00%,1,0
Single,Fly,-,-,7,1st,1,  0.00%,1,0
Single,Fly,-,-,6D,1st,1,  0.00%,1,0
Generic out,Grounder,-,-,4,1st,1,  0.00%,1,0
Generic out,Grounder,Y,-,34S,Out,1,  0.00%,2,0
Single,Liner,-,-,34D,Out,1,  0.00%,2,0
Error,Pop-up,-,-,4,1st,1,  0.00%,1,0
Single,Grounder,Y,-,3S,1st,1,  0.00%,1,0
Home run,Fly,-,-,23,Score,1,  0.00%,1,1
Single,Grounder,Y,-,3,1st,1,  0.00%,1,0
Double,Fly,-,-,9D,Out,1,  0.00%,2,0
Error,Pop-up,-,-,25,2nd,1,  0.00%,1,0
Single,Grounder,-,-,1S,3rd,1,  0.00%,1,0
Error,Grounder,-,-,2,2nd,1,  0.00%,1,0
Generic out,Grounder,-,-,4M,1st,1,  0.00%,1,0
Single,Grounder,-,-,6S,2nd,1,  0.00%,1,0
Double,Fly,-,-,9D,3rd,1,  0.00%,1,0
Single,Fly,-,-,7LS,2nd,1,  0.00%,1,0
Double,Fly,-,-,78XD,3rd,1,  0.00%,1,0
Triple,Liner,-,-,9D,3rd,1,  0.00%,1,0
Double,Fly,-,-,89XD,Out,1,  0.00%,2,0
Single,Liner,-,-,13,1st,1,  0.00%,1,0
Single,Liner,-,-,9L,3rd,1,  0.00%,1,0
Single,Liner,-,-,9D,2nd,1,  0.00%,1,0
Error,Grounder,-,-,7L,2nd,1,  0.00%,1,0
Single,Pop-up,-,-,1S,1st,1,  0.00%,1,0
Generic out,Grounder,-,-,78S,Out,1,  0.00%,2,0
Generic out,Liner,-,-,9LS,Out,1,  0.00%,2,0
Double,Fly,-,-,5S,2nd,1,  0.00%,1,0
Single,Pop-up,-,-,9S,1st,1,  0.00%,1,0
Single,Liner,-,-,4M,1st,1,  0.00%,1,0
Generic out,Grounder,-,-,34S,1st,1,  0.00%,1,0
Double,Fly,-,-,9,2nd,1,  0.00%,1,0
Triple,Fly,-,-,9L,3rd,1,  0.00%,1,0
Single,Pop-up,-,-,7S,1st,1,  0.00%,1,0
Single,Grounder,Y,-,2,2nd,1,  0.00%,1,0
Single,Liner,-,-,8,Out,1,  0.00%,2,0
Single,Grounder,-,-,56,Out,1,  0.00%,2,0
Single,Grounder,-,-,4M,2nd,1,  0.00%,1,0
Single,Liner,-,-,7,2nd,1,  0.00%,1,0
Error,Liner,-,-,78XD,2nd,1,  0.00%,1,0
