Play,Type,Bnt,Fl,Loc,B,Count,Probability,New Outs,Runs
Single,Liner,-,-,89D,2nd,1,  0.00%,0,0
Single,Pop-up,-,-,78S,1st,1,  0.00%,0,0
Error,Fly,-,-,7D,2nd,1,  0.00%,0,0
Double,Liner,-,-,89S,2nd,1,  0.00%,0,0
Error,Grounder,-,-,6D,2nd,1,  0.00%,0,0
Double,Pop-up,-,-,3D,2nd,1,  0.00%,0,0
Error,Fly,-,-,7LS,2nd,1,  0.00%,0,0
Error,Fly,-,-,56D,1st,1,  0.00%,0,0
Single,Fly,-,-,7LD,1st,1,  0.00%,0,0
Single,Liner,-,-,7LD,2nd,1,  0.00%,0,0
Error,Grounder,-,-,23,1st,1,  0.00%,0,0
Single,Fly,-,-,78D,1st,1,  0.00%,0,0
Error,Grounder,-,-,56D,2nd,1,  0.00%,0,0
Double,Grounder,-,-,4,3rd,1,  0.00%,0,0
Generic out,Liner,-,-,8S,Out,1,  0.00%,1,0
Error,Grounder,-,-,9,1st,1,  0.00%,0,0
Error,Grounder,-,-,7,1st,1,  0.00%,0,0
Double,Liner,-,-,8XD,3rd,1,  0.00%,0,0
Error,Liner,-,-,56,2nd,1,  0.00%,0,0
Single,Liner,-,-,7,2nd,1,  0.00%,0,0
Error,Fly,-,-,9LS,3rd,1,  0.00%,0,0
Error,Fly,-,-,78XD,3rd,1,  0.00%,0,0
Double,Liner,-,-,4,2nd,1,  0.00%,0,0
Generic out,Liner,-,Y,5F,Out,1,  0.00%,1,0
Generic out,Liner,Y,-,3,Out,1,  0.00%,1,0
Single,Liner,-,-,5,1st,1,  0.00%,0,0
Error,Grounder,-,-,3D,1st,1,  0.00%,0,0
Error,Pop-up,-,-,3,1st,1,  0.00%,0,0
Generic out,Pop-up,Y,Y,3F,Out,1,  0.00%,1,0
Error,Fly,-,-,89D,2nd,1,  0.00%,0,0
Single,Fly,-,-,7LS,3rd,1,  0.00%,0,0
Double,Grounder,-,-,3D,2nd,1,  0.00%,0,0
Double,Liner,-,-,5S,2nd,1,  0.00%,0,0
Single,Liner,-,-,3S,1st,1,  0.00%,0,0
Double,Liner,-,-,-,2nd,1,  0.00%,0,0
Single,Liner,-,-,89S,Out,1,  0.00%,1,0
Generic out,Pop-up,Y,-,3,Out,1,  0.00%,1,0
Single,Grounder,Y,-,15,1st,1,  0.00%,0,0
Error,Pop-up,-,-,3D,1st,1,  0.00%,0,0
Double,Grounder,-,-,5,3rd,1,  0.00%,0,0
Double,Liner,-,-,9LD,Out,1,  0.00%,1,0
Generic out,Fly,-,-,56,Out,1,  0.00%,1,0
Double,Grounder,-,-,3,Out,1,  0.00%,1,0
Single,Liner,-,-,2,1st,1,  0.00%,0,0
Generic out,Pop-up,Y,-,3S,Out,1,  0.00%,1,0
Single,Fly,-,-,7LS,2nd,1,  0.00%,0,0
Single,Grounder,Y,-,3,2nd,1,  0.00%,0,0
Generic out,Pop-up,Y,-,23,Out,1,  0.00%,1,0
Triple,Fly,-,-,78XD,Score,1,  0.00%,0,1
Double,Liner,-,-,78XD,Out,1,  0.00%,1,0
Single,Liner,-,-,8D,2nd,1,  0.00%,0,0
Home run,Fly,-,-,7L,Score,1,  0.00%,0,1
Single,Grounder,-,-,2,Out,1,  0.00%,1,0
Single,Fly,-,-,4D,1st,1,  0.00%,0,0
Single,Fly,-,-,89D,Out,1,  0.00%,1,0
Single,Pop-up,-,-,13,1st,1,  0.00%,0,0
Error,Grounder,-,-,5S,2nd,1,  0.00%,0,0
Error,Grounder,-,-,4MS,2nd,1,  0.00%,0,0
Error,Grounder,-,-,5D,2nd,1,  0.00%,0,0
Triple,Fly,-,-,7L,3rd,1,  0.00%,0,0
Generic out,Fly,-,-,56S,Out,1,  0.00%,1,0
Double,Grounder,-,-,5S,2nd,1,  0.00%,0,0
Error,Grounder,-,-,5S,1st,1,  0.00%,0,0
Error,Fly,-,-,9LD,3rd,1,  0.00%,0,0
Generic out,Grounder,-,-,-,Out,1,  0.00%,1,0
Single,Liner,-,-,8,Out,1,  0.00%,1,0
Single,Pop-up,-,-,15,1st,1,  0.00%,0,0
Generic out,Grounder,Y,-,5S,Out,1,  0.00%,1,0
Error,Grounder,-,-,8S,1st,1,  0.00%,0,0
Error,Liner,Y,-,56S,1st,1,  0.00%,0,0
Double,Liner,-,-,9L,3rd,1,  0.00%,0,0
Double,Liner,-,-,7,Out,1,  0.00%,1,0
Single,Liner,-,-,34,1st,1,  0.00%,0,0
Single,Pop-up,-,-,4,1st,1,  0.00%,0,0
Single,Pop-up,-,-,9LS,1st,1,  0.00%,0,0
Single,Grounder,-,-,34S,2nd,1,  0.00%,0,0
Single,Pop-up,-,-,7LS,1st,1,  0.00%,0,0
Home run,Fly,-,-,78D,Score,1,  0.00%,0,1
Error,Grounder,-,-,1,2nd,1,  0.00%,0,0
Double,Fly,-,-,78S,2nd,1,  0.00%,0,0
Generic out,Liner,-,-,9LS,Out,1,  0.00%,1,0
Single,Grounder,Y,-,6S,1st,1,  0.00%,0,0
Single,Liner,-,-,9,2nd,1,  0.00%,0,0
Double,Liner,-,-,7LD,3rd,1,  0.00%,0,0
Generic out,Grounder,-,-,89XD,Out,1,  0.00%,1,0
Double,Fly,-,-,5,2nd,1,  0.00%,0,0
Single,Fly,-,-,9LD,Out,1,  0.00%,1,0
Error,Liner,-,-,8D,2nd,1,  0.00%,0,0
Error,Liner,-,-,5,1st,1,  0.00%,0,0
Single,Grounder,Y,-,3S,1st,1,  0.00%,0,0
Single,Grounder,-,-,1,2nd,1,  0.00%,0,0
Single,Fly,-,-,7LS,Out,1,  0.00%,1,0
Single,Grounder,-,-,1S,2nd,1,  0.00%,0,0
Triple,Liner,-,-,3D,3rd,1,  0.00%,0,0
Error,Liner,-,-,34,1st,1,  0.00%,0,0
Error,Pop-up,-,-,3D,2nd,1,  0.00%,0,0
Double,Grounder,-,-,56S,2nd,1,  0.00%,0,0
Single,Grounder,Y,-,5S,2nd,1,  0.00%,0,0
Generic out,Grounder,-,-,3,1st,1,  0.00%,0,0
Double,Liner,-,-,9LD,3rd,1,  0.00%,0,0
Single,Fly,-,-,89XD,Out,1,  0.00%,1,0
Home run,Fly,-,-,9,Score,1,  0.00%,0,1
Single,Grounder,-,-,4,Out,1,  0.00%,1,0
Error,Fly,-,-,78,2nd,1,  0.00%,0,0
Generic out,Pop-up,Y,-,15,Out,1,  0.00%,1,0
Single,Grounder,-,-,5S,2nd,1,  0.00%,0,0
Double,Liner,-,-,89XD,3rd,1,  0.00%,0,0
Error,Liner,-,-,78,2nd,1,  0.00%,0,0
Single,Grounder,Y,-,4S,1st,1,  0.00%,0,0
Single,Grounder,-,-,5,2nd,1,  0.00%,0,0
Triple,Fly,-,-,9,3rd,1,  0.00%,0,0
Triple,Liner,-,-,8XD,Out,1,  0.00%,1,0
Generic out,Pop-up,Y,-,13,Out,1,  0.00%,1,0
Double,Pop-up,-,-,8S,2nd,1,  0.00%,0,0
Double,Fly,-,-,78S,3rd,1,  0.00%,0,0
Generic out,Grounder,-,-,89S,Out,1,  0.00%,1,0
Single,Grounder,-,-,4M,Out,1,  0.00%,1,0
Generic out,Fly,-,-,-,Out,1,  0.00%,1,0
Error,Grounder,-,-,6MS,1st,1,  0.00%,0,0
Double,Grounder,-,-,3,3rd,1,  0.00%,0,0
Single,Pop-up,-,-,3,1st,1,  0.00%,0,0
Triple,Fly,-,-,89D,3rd,1,  0.00%,0,0
Single,Pop-up,-,-,3D,Out,1,  0.00%,1,0
Single,Pop-up,-,-,4MD,1st,1,  0.00%,0,0
Single,Liner,-,-,8D,Out,1,  0.00%,1,0
Error,Grounder,-,-,6MD,1st,1,  0.00%,0,0
Generic out,Grounder,-,Y,2F,Out,1,  0.00%,1,0
Single,Grounder,-,-,56S,Score,1,  0.00%,0,1
Error,Grounder,Y,-,34S,1st,1,  0.00%,0,0
Generic out,Liner,-,Y,3F,Out,1,  0.00%,1,0
Single,Liner,-,-,9LS,Out,1,  0.00%,1,0
Error,Liner,-,-,9D,2nd,1,  0.00%,0,0
Single,Grounder,-,-,56,Out,1,  0.00%,1,0
Double,Liner,-,-,1,2nd,1,  0.00%,0,0
Single,Grounder,-,-,4M,2nd,1,  0.00%,0,0
Error,Grounder,-,-,4,2nd,1,  0.00%,0,0
Double,Liner,-,-,9LS,3rd,1,  0.00%,0,0
Single,Grounder,-,-,6M,2nd,1,  0.00%,0,0
Double,Fly,-,-,8XD,Out,1,  0.00%,1,0
Generic out,Pop-up,Y,Y,3SF,Out,1,  0.00%,1,0
Single,Grounder,Y,-,1S,1st,1,  0.00%,0,0
Generic out,Grounder,-,-,9L,Out,1,  0.00%,1,0
Generic out,Pop-up,Y,-,34S,Out,1,  0.00%,1,0
Error,Pop-up,-,-,8S,2nd,1,  0.00%,0,0
Single,Grounder,-,-,23,Out,1,  0.00%,1,0
Error,Grounder,-,-,2,1st,1,  0.00%,0,0
Single,Pop-up,-,-,5,1st,1,  0.00%,0,0
Error,Grounder,Y,-,23,1st,1,  0.00%,0,0
Generic out,Pop-up,Y,Y,5F,Out,1,  0.00%,1,0
Single,Grounder,-,-,56S,2nd,1,  0.00%,0,0
Single,Grounder,-,-,4S,2nd,1,  0.00%,0,0
Double,Grounder,-,-,4M,2nd,1,  0.00%,0,0
Error,Liner,-,-,9LD,1st,1,  0.00%,0,0
Error,Liner,-,-,78XD,2nd,1,  0.00%,0,0
Generic out,Liner,-,-,6S,Out,1,  0.00%,1,0
Strikeout,-,-,-,-,2nd,1,  0.00%,0,0
Error,Grounder,-,-,34S,2nd,1,  0.00%,0,0
Double,Liner,-,-,2,2nd,1,  0.00%,0,0
Single,Liner,-,-,15,1st,1,  0.00%,0,0
Intentional walk,-,-,-,-,1st,1,  0.00%,0,0
Generic out,Fly,-,-,34,Out,1,  0.00%,1,0
Single,Grounder,Y,-,4,1st,1,  0.00%,0,0
Single,Liner,-,-,4M,Out,1,  0.00%,1,0
Single,Grounder,-,-,3,2nd,1,  0.00%,0,0
Generic out,Grounder,-,-,4,2nd,1,  0.00%,0,0
Single,Fly,-,-,8D,1st,1,  0.00%,0,0
Error,Grounder,-,-,3S,1st,1,  0.00%,0,0
Generic out,Grounder,-,-,7S,Out,1,  0.00%,1,0
